type,nmax,nsteps,temp,order,threads,time
python,10,50,0.5,0.6598993439449528,1,0.1321096420288086
python,10,50,0.5,0.41863359560272595,1,0.15433931350708008
python,10,50,0.5,0.8608153451135199,1,0.14315104484558105
python,10,50,0.5,0.8443000337898594,1,0.14721393585205078
python,10,50,0.5,0.6635912802650759,1,0.139603853225708
python,20,50,0.5,0.47319001830654595,1,0.5964884757995605
python,20,50,0.5,0.5218426197452364,1,0.5682363510131836
python,20,50,0.5,0.5459646101516792,1,0.5381467342376709
python,20,50,0.5,0.34188306526732976,1,0.5263071060180664
python,20,50,0.5,0.3430507600735777,1,0.543086051940918
python,30,50,0.5,0.45154441736171896,1,1.1609935760498047
python,30,50,0.5,0.3178467702691701,1,1.113635778427124
python,30,50,0.5,0.48519764817035516,1,1.2179076671600342
python,30,50,0.5,0.2696107251916004,1,1.1824417114257812
python,30,50,0.5,0.3025252502563288,1,1.2561728954315186
python,50,50,0.5,0.3702117032935487,1,3.339650869369507
python,50,50,0.5,0.31678921636900376,1,3.289067506790161
python,50,50,0.5,0.4104805756172157,1,3.1614420413970947
python,50,50,0.5,0.305976855547135,1,3.2034592628479004
python,50,50,0.5,0.3191139081048367,1,3.333000898361206
python,75,50,0.5,0.32410852228583037,1,7.1400146484375
python,75,50,0.5,0.281666322129141,1,7.301519870758057
python,75,50,0.5,0.26605657652158765,1,7.291741847991943
python,75,50,0.5,0.3753765672576115,1,7.308034420013428
python,75,50,0.5,0.3037087583278295,1,7.296999454498291
python,100,50,0.5,0.2876538171299955,1,13.156840562820435
python,100,50,0.5,0.30535289946286587,1,13.539231300354004
python,100,50,0.5,0.2586722242388991,1,12.421125411987305
python,100,50,0.5,0.3435375539632405,1,12.28982424736023
python,100,50,0.5,0.32198817899511867,1,12.38466215133667
python,200,50,0.5,0.2911137147442481,1,49.107670307159424
python,200,50,0.5,0.2676785298853892,1,48.80568814277649
python,200,50,0.5,0.2727421029326691,1,48.64892530441284
python,200,50,0.5,0.2778593589855932,1,48.80073142051697
python,200,50,0.5,0.2760851092241159,1,49.297287702560425
python,400,50,0.5,0.2555096812132392,1,198.3983554840088
python,400,50,0.5,0.253397031904068,1,199.64870047569275
python,400,50,0.5,0.26954772025136764,1,198.57509803771973
python,400,50,0.5,0.2690665855948112,1,206.60381722450256
python,400,50,0.5,0.26210733685035764,1,197.6934883594513
cpp,10,50,0,1.54829,1,0.002
cpp,10,50,0,1.24405,1,0.001
cpp,10,50,0,1.10979,1,0.002
cpp,10,50,0,1.52061,1,0.001
cpp,10,50,0,0.825225,1,0.002
cpp,20,50,0,1.0094,1,0.005
cpp,20,50,0,0.912677,1,0.005
cpp,20,50,0,1.09068,1,0.005
cpp,20,50,0,0.915667,1,0.005
cpp,20,50,0,1.21705,1,0.005
cpp,30,50,0,0.793506,1,0.013
cpp,30,50,0,0.894879,1,0.014
cpp,30,50,0,0.749327,1,0.011
cpp,30,50,0,0.868036,1,0.01
cpp,30,50,0,0.623109,1,0.01
cpp,50,50,0,0.563079,1,0.032
cpp,50,50,0,0.552264,1,0.032
cpp,50,50,0,0.613426,1,0.031
cpp,50,50,0,0.623624,1,0.034
cpp,50,50,0,0.619699,1,0.034
cpp,100,50,0,0.506975,1,0.143
cpp,100,50,0,0.527421,1,0.131
cpp,100,50,0,0.542875,1,0.132
cpp,100,50,0,0.528941,1,0.139
cpp,100,50,0,0.512941,1,0.136
cpp,200,50,0,0.533384,1,0.552
cpp,200,50,0,0.526276,1,0.521
cpp,200,50,0,0.542837,1,0.514
cpp,200,50,0,0.525752,1,0.509
cpp,200,50,0,0.535256,1,0.505
cpp,400,50,0,0.514436,1,2.14
cpp,400,50,0,0.517616,1,2.135
cpp,400,50,0,0.518803,1,2.135
cpp,400,50,0,0.512979,1,2.107
cpp,400,50,0,0.526897,1,2.125
cpp,800,50,0,0.502641,1,8.624
cpp,800,50,0,0.502645,1,8.562
cpp,800,50,0,0.50587,1,8.595
cpp,800,50,0,0.502256,1,8.576
cpp,800,50,0,0.501857,1,8.592
numpy,10,50,0.5,0.8455339289978552,1,0.10131287574768066
numpy,10,50,0.5,0.7537294843018795,1,0.09398746490478516
numpy,10,50,0.5,0.8370542697730878,1,0.10837340354919434
numpy,10,50,0.5,0.8148958167313374,1,0.1062154769897461
numpy,10,50,0.5,0.8362388836410684,1,0.11458086967468262
numpy,20,50,0.5,0.45039755312187574,1,0.33237361907958984
numpy,20,50,0.5,0.542821220461645,1,0.33569836616516113
numpy,20,50,0.5,0.679581445195436,1,0.330005407333374
numpy,20,50,0.5,0.2580454567854378,1,0.35524725914001465
numpy,20,50,0.5,0.5156807171078981,1,0.3268122673034668
numpy,30,50,0.5,0.3405803414932567,1,0.749751091003418
numpy,30,50,0.5,0.3601293288313414,1,0.6943309307098389
numpy,30,50,0.5,0.39994759685365383,1,0.6927025318145752
numpy,30,50,0.5,0.5716792285266633,1,0.6869986057281494
numpy,30,50,0.5,0.4936101005196618,1,0.7327349185943604
numpy,50,50,0.5,0.31138869083658693,1,1.8445417881011963
numpy,50,50,0.5,0.33449080561909666,1,2.016010284423828
numpy,50,50,0.5,0.28463136552764257,1,2.1089439392089844
numpy,50,50,0.5,0.3795173184632847,1,2.3953895568847656
numpy,50,50,0.5,0.3797843762394386,1,1.8717429637908936
numpy,75,50,0.5,0.3213250602927209,1,4.095740556716919
numpy,75,50,0.5,0.35306371566662964,1,4.274805784225464
numpy,75,50,0.5,0.2858069252823414,1,4.1234376430511475
numpy,75,50,0.5,0.288355882917039,1,4.133065462112427
numpy,75,50,0.5,0.33645767711982577,1,4.0826568603515625
numpy,100,50,0.5,0.3327278787239371,1,7.376688718795776
numpy,100,50,0.5,0.3033071886021982,1,7.1190924644470215
